"Country","Powerplant Name","Capacity (MW)","Latitude","Longitude","Primary Fuel"
"United Kingdom","Drayton Manor Farm",25,52.2003,-1.7751,"Solar"
"United Kingdom","Dunkeswell Airfield",2,50.8645,-3.227,"Solar"
"United Kingdom","Dunsfold",2.00056,51.1193,-0.5448,"Solar"
"United Kingdom","Dura Park Bynea Industrial Site",1.4,51.6676,-4.0897,"Solar"
"United Kingdom","Durrants Farm Solar",4.5,50.7099,-1.3664,"Solar"
"United Kingdom","Eaglescliffe Solar Farm",5,54.5409,-1.3552,"Solar"
"United Kingdom","Eakring Solar Farm",11.9,53.1547,-1.014,"Solar"
"United Kingdom","East Appleton",4.98,54.3569,-1.6374,"Solar"
"United Kingdom","East Fairlee",6.979,50.7106,-1.1375,"Solar"
"United Kingdom","East Farm",6.84288,51.1783,-2.0196,"Solar"
"United Kingdom","East Langford Farm",5,50.8701,-4.4271,"Solar"
"United Kingdom","East Lenham Solar Farm",6.6,51.2274,0.7119,"Solar"
"United Kingdom","East Midlands Distribution Centre",6.1,52.8505,-1.3576,"Solar"
"United Kingdom","Eastacombe",3.577,50.773,-4.3353,"Solar"
"United Kingdom","Ebbsfleet Farm Solar Farm",4.9,51.3157,1.3458,"Solar"
"United Kingdom","Ebbsfleet Solar Farm",5,51.3105,1.3389,"Solar"
"United Kingdom","Ebnal Lodge (resubmission)",5,52.9001,-3.0152,"Solar"
"United Kingdom","Eckland Lodge Farm",2.9,52.4584,-0.843,"Solar"
"United Kingdom","Egmanton Solar Farm - resubmission",14.2,53.2113,-0.8798,"Solar"
"United Kingdom","Ellicombe Farm",1.4,50.8309,-3.7844,"Solar"
"United Kingdom","Ellough Solar Farm",14.88322,52.434,1.6055,"Solar"
"United Kingdom","Ellough Solar Farm Phase Two",4.99,52.4388,1.6059,"Solar"
"United Kingdom","Elms Farm",29,51.6051,-1.4003,"Solar"
"United Kingdom","Elton solar farm",5,52.9481,-0.8477,"Solar"
"United Kingdom","Epwell",8.988,52.0665,-1.4658,"Solar"
"United Kingdom","Ermine Street Farm solar park",32.5,53.0152,-0.5214,"Solar"
"United Kingdom","Ernesettle Solar Farm",4.1,50.4118,-4.1823,"Solar"
"United Kingdom","Errol Estate",13,56.3677,-3.2771,"Solar"
"United Kingdom","Eveley",49.328,51.1076,-1.5302,"Solar"
"United Kingdom","Exning",30.276,52.2502,0.3486,"Solar"
"United Kingdom","Eynsham Solar Farm",13.2,51.794,-1.4264,"Solar"
"United Kingdom","Fairwinds",12.19689,51.5641,0.3896,"Solar"
"United Kingdom","Fambridge Road/Canewdon Road",5,51.6202,0.6974,"Solar"
"United Kingdom","Fanny House",4.942,54.0521,-2.8783,"Solar"
"United Kingdom","Fell View",4.258,53.7918,-2.6203,"Solar"
"United Kingdom","Fell View Farm (Phase 2)",2.9,53.7915,-2.6236,"Solar"
"United Kingdom","Fen Farm Solar Park",1,53.4233,0.069,"Solar"
"United Kingdom","Fen Road Solar Farm",1.441,52.9658,-0.0717,"Solar"
"United Kingdom","Fenton Home Farm",31.3,51.8195,-4.9189,"Solar"
"United Kingdom","Fferm Bryn Bachau",4.4,52.9075,-4.334,"Solar"
"United Kingdom","Ffos Las",4.9968,51.725,-4.2386,"Solar"
"United Kingdom","Field House Solar / Hursley Road",7,51.0087,-1.3915,"Solar"
"United Kingdom","Fields Farm (Agden)",4.997475,52.9957,-2.7248,"Solar"
"United Kingdom","Fieldscale",10.6,50.6772,-1.2454,"Solar"
"United Kingdom","Fiskerton Solar Farm",13.04248,53.2439,-0.4287,"Solar"
"United Kingdom","Fleetwood Water Treatment Works",1.3,53.9091,-3.0187,"Solar"
