Data_Status,State,MSN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2020,US,HLTXP,821345,839282,912806,891630,930667,929942,962528,1099970,1145706,1181338
2020,US,HYCCB,249,262,419,365,325,2004,2208,2069,1677,1874
2020,US,HYCCP,26,28,44,38,35,217,240,227,188,214
2020,US,HYEGB,3085127,2606047,2528923,2454019,2307717,2458721,2752024,2650608,2552636,2492052
2020,US,HYEGP,317531,273859,265058,258046,247636,266326,298711,291148,286652,284059
2020,US,HYICB,17477,22393,33040,12192,13135,11717,12736,10461,9203,8781
2020,US,HYICP,1799,2353,3463,1282,1410,1269,1382,1149,1033,1001
2020,US,HYTCB,3102852,2628702,2562382,2466577,2321177,2472442,2766967,2663138,2563516,2502708
2020,US,HYTCP,319355,276240,268565,259367,249080,267812,300333,292524,287874,285274
2020,US,HYTXB,17726,22655,33460,12557,13460,13721,14944,12530,10879,10656
2020,US,HYTXP,1824,2381,3507,1320,1444,1486,1622,1376,1222,1215
2020,US,IQICB,48979,61427,91867,95828,148731,196204,213287,243731,285879,326885
2020,US,IQICP,11709,14685,21962,22909,35556,46905,50989,58267,68343,78146
2020,US,IQTCB,48979,61427,91867,95828,148731,196204,213287,243731,285879,326885
2020,US,IQTCP,11709,14685,21962,22909,35556,46905,50989,58267,68343,78146
2020,US,IYICB,2992,862,-740,-1102,-1224,775,1219,-836,109,-314
2020,US,IYICP,687,198,-170,-253,-281,178,280,-192,25,-72
2020,US,IYTCB,2992,862,-740,-1102,-1224,775,1219,-836,109,-314
2020,US,IYTCP,687,198,-170,-253,-281,178,280,-192,25,-72
2020,US,JFACB,2949818,2901435,2968557,3042091,3204168,3349876,3481346,3532756,3608019,2233844
2020,US,JFACP,520250,511717,523555,536524,565109,590807,613994,623061,636335,393976
2020,US,JFTCB,2949818,2901435,2968557,3042091,3204168,3349876,3481346,3532756,3608019,2233844
2020,US,JFTCP,520250,511717,523555,536524,565109,590807,613994,623061,636335,393976
2020,US,JFTXB,2949818,2901435,2968557,3042091,3204168,3349876,3481346,3532756,3608019,2233844
2020,US,JFTXP,520250,511717,523555,536524,565109,590807,613994,623061,636335,393976
2020,US,KSCCB,3193,1203,1018,2041,1371,2077,1188,1337,1840,1693
2020,US,KSCCP,563,212,180,360,242,366,209,236,324,299
2020,US,KSICB,3615,2008,1477,2830,1728,2265,1115,1624,1420,3023
2020,US,KSICP,638,354,261,499,305,400,197,286,250,533
2020,US,KSRCB,18526,7738,8260,13750,10118,13649,8414,8243,10756,10837
2020,US,KSRCP,3267,1365,1457,2425,1784,2407,1484,1454,1897,1911
2020,US,KSTCB,25334,10949,10756,18620,13217,17991,10716,11204,14016,15553
