"Country","Powerplant Name","Capacity (MW)","Latitude","Longitude","Primary Fuel"
"United States of America","Butler Solar Farm 20",20,32.5755,-84.3165,"Solar"
"United States of America","Butler Solar Power Project",2.8,38.27,-94.35,"Solar"
"United States of America","Butler Solar Project 103",103,32.5619,-84.2758,"Solar"
"United States of America","Butte College Main Campus Solar",3.5,39.6481,-121.6442,"Solar"
"United States of America","CA Dept of Public Health at Richmond",2.2,37.92,-122.344,"Solar"
"United States of America","CA Flats Solar 130  LLC",130,35.6156,-120.4044,"Solar"
"United States of America","CASD Solar",1.3,40.2142,-77.2061,"Solar"
"United States of America","CB Bladen Solar  LLC",5.2,34.8229,-78.6243,"Solar"
"United States of America","CBC Solar Energy Gen Fac Phase 2",2.5,35.6744,-78.5261,"Solar"
"United States of America","CBS Television City",1.6,34.075,-118.36,"Solar"
"United States of America","CCBC-Catonsville",1.6,39.2525,-76.735,"Solar"
"United States of America","CCMUA",1.5,39.9231,-75.1275,"Solar"
"United States of America","CDCR (CA) - Corcoran State Prison",5,36.065,-119.5576,"Solar"
"United States of America","CDCR (CA) - Pleasant Valley State Prison",1.2,36.1372,-120.2244,"Solar"
"United States of America","CDCR (CA) - Solano State Prison",1.1,38.3227,-121.9706,"Solar"
"United States of America","CDCR (CA) - Wasco State Prison",1.5,35.6005,-119.4037,"Solar"
"United States of America","CED Avenal",15.8,35.9963,-120.1515,"Solar"
"United States of America","CED Chicopee Solar",3,42.2039,-72.551,"Solar"
"United States of America","CED Ducor 1",20,35.8563,-119.0684,"Solar"
"United States of America","CED Ducor 2",20,35.8442,-119.0681,"Solar"
"United States of America","CED Ducor 3",15,35.8454,-119.057,"Solar"
"United States of America","CED Ducor 4",20,35.8504,-119.027,"Solar"
"United States of America","CED Foster",2,41.795,-71.787,"Solar"
"United States of America","CED Westfield Solar  LLC",2,42.1756,-72.7552,"Solar"
"United States of America","CES Cherry Hill Solar",1.2,39.9419,-75.0262,"Solar"
"United States of America","CES Sterling LLC",2.4,42.4419,-71.7222,"Solar"
"United States of America","CES VMT Solar",1.1,39.6809,-77.7271,"Solar"
"United States of America","CF Novel Solar CSG Gardens Eleven  LLC",3,44.24,-93.96,"Solar"
"United States of America","CF Novel Solar CSG Gardens Five  LLC",3.4,44.0938,-93.4017,"Solar"
"United States of America","CF Novel Solar CSG Gardens Seven  LLC",3.3,45.4308,-94.0219,"Solar"
"United States of America","CF Novel Solar CSG Gardens Two  LLC",1.8,43.8459,-93.8367,"Solar"
"United States of America","CGSun  LLC",4,44.8479,-92.875,"Solar"
"United States of America","CID Solar  LLC",20,36.1381,-119.5647,"Solar"
"United States of America","CM10",10,35.7881,-114.9933,"Solar"
"United States of America","CM48",48,35.7814,-114.9933,"Solar"
"United States of America","CMEEC - Bozrah",2.5,41.5706,-72.1586,"Solar"
"United States of America","CMEEC - Navy NE Trident",1,41.3955,-72.0792,"Solar"
"United States of America","CMEEC - Norwich Stott St Solar",4.3,41.5769,-72.1046,"Solar"
"United States of America","CMEEC - Polaris Park Solar",4.3,41.3813,-72.0769,"Solar"
"United States of America","CMEEC - Rogers Rd Solar",1.5,41.5383,-72.1225,"Solar"
"United States of America","CNE at Cambridge MD",3.2,38.5158,-76.0192,"Solar"
"United States of America","CPS 1",1,29.378,-98.2692,"Solar"
"United States of America","CS Murphy Point  LLC",1,34.9895,-84.1662,"Solar"
"United States of America","CSD 2 - Heritage High",1.3,37.9219,-121.7556,"Solar"
"United States of America","CSD 2- Freedom High",1.1,37.9697,-121.7194,"Solar"
"United States of America","CSU Fresno Solar Project",1,36.8098,-119.7417,"Solar"
"United States of America","CSU Pueblo",1,38.3061,-104.58,"Solar"
"United States of America","CSUF Nutwood Solar",1.9,33.8791,-117.8887,"Solar"
"United States of America","CSUF State College",1,33.8791,-117.8887,"Solar"
"United States of America","CU Solar Plant",1.8,39.7419,-83.8169,"Solar"
"United States of America","Caelum Community Solar",1.8,45.662,-93.9368,"Solar"
"United States of America","CalRenew-1",5,36.7575,-120.3658,"Solar"
"United States of America","California PV Energy at ISD WWTP",1,38.0011,-121.7039,"Solar"
